word
og
i
pÃ¥
af
det
er
at
en
til
for
med
som
de
der
vi
jeg
du
han
hun
man
sig
har
havde
var
bliver
blive
kan
skal
mÃ¥
ikke
men
sÃ¥
om
i
og
til
den
at
af
rd
a
for
paa
en
er
mk
med
4
der
de
pds
1
pr
3
det
kl
fra
s
2
8
som
var
7
5
6
ved
t
n
d
do
l
m
ikke
har
et
r
om
as
si
sig
men
pd
sk
10
g
han
h
12
9
o
c
e
rdl
13
al
ab
st
meget
rug
f
k
b
ere
p
have
man
uden
da
pct
na
vil
efter
havde
kun
over
denne
v
saa
sor
11
vare
sra
24
20
0
hr
fast
under
blev
nu
j
eller
her
dog
80
alle
end
lavere
vi
in
27
aar
sidste
25
14
kan
84
21
16
sin
cg
nr
uge
uforandret
lil
28
vilde
112
noget
blive
del
ogsaa
22
ii
26
sh
23
83
endnu
pd.s
te
ten
125
ham
ud
ester
store
88
30
tdr
124
to
40
82
form
min
29
u
bar
ti
ind
samme
tid
dette
jeg
ad
igaar
120
være
idag
be
kunne
72
ingen
15
ville
100
fl
li
mod
samt
mere
18
48
z
128
hvor
mindre
dem
il
fe
ter
122
dage
kunde
85
hele
solgt
eg
andre
kgl
grund
imod
t's
deres
kort
stor
roligt
113
disse
110
ni
nogen
tit
naar
ret
17
av
111
hans
god
126
32
127
nogle
ringe
maa
sted
50
re
været
19
114
el
ny
flere
oerne
86
130
nd
ar
mand
pet
81
an
ro
land
loco
jensen
morgen
dag
90
123
sen
hvad
navnlig
alt
post
rolig
or
op
penge
fm
gik
skib
ben
fi
87
hun
rbd
mig
os
selv
hos
anden
hvis
saaledes
maatte
derfor
skulde
sine
tilbage
sit
bleven
skal
allerede
vor
indtil
mellem
komme
faa
nemlig
hensyn
enhver
hver
gaae
dens
idet
bliver
thi
intet
kom
lille
tidligere
imidlertid
